X,Y,time,video
17.121309,48.127902,16:48:49,0
17.12125,48.127908,16:48:50,1
17.121188,48.127913,16:48:51,2
17.121125,48.127917,16:48:52,3
17.120803,48.127924,16:48:57,8
17.120729,48.127924,16:48:58,9
17.120654,48.127922,16:48:59,10
17.120575,48.127921,16:49:00,11
17.120503,48.12792,16:49:01,12
17.120427,48.127919,16:49:02,13
17.120352,48.127918,16:49:03,14
17.120276,48.127918,16:49:04,15
17.120201,48.127917,16:49:05,16
17.120126,48.127916,16:49:06,17
17.120052,48.127914,16:49:07,18
17.119978,48.127916,16:49:08,19
17.119907,48.127919,16:49:09,20
17.119835,48.127923,16:49:10,21
17.119765,48.127928,16:49:11,22
17.119695,48.127934,16:49:12,23
17.119627,48.127942,16:49:13,24
17.11949,48.127961,16:49:15,26
17.119421,48.12797,16:49:16,27
17.119351,48.127977,16:49:17,28
17.119279,48.127982,16:49:18,29
17.119208,48.127987,16:49:19,30
17.119137,48.127989,16:49:20,31
17.119065,48.12799,16:49:21,32
17.118994,48.127991,16:49:22,33
17.118923,48.127992,16:49:23,34
17.118855,48.127994,16:49:24,35
17.118787,48.127995,16:49:25,36
17.118719,48.127996,16:49:26,37
17.118651,48.127998,16:49:27,38
17.118583,48.128,16:49:28,39
17.118514,48.128001,16:49:29,40
17.118447,48.128002,16:49:30,41
17.11838,48.128004,16:49:31,42
17.118312,48.128006,16:49:32,43
17.118244,48.128009,16:49:33,44
17.118176,48.128012,16:49:34,45
17.118108,48.128017,16:49:35,46
17.11804,48.128022,16:49:36,47
17.117973,48.128028,16:49:37,48
17.117905,48.128034,16:49:38,49
17.117838,48.12804,16:49:39,50
17.117771,48.128046,16:49:40,51
17.117702,48.128052,16:49:41,52
17.117634,48.128057,16:49:42,53
17.117565,48.12806,16:49:43,54
17.117495,48.128063,16:49:44,55
17.117424,48.128065,16:49:45,56
17.117355,48.128068,16:49:46,57
17.117285,48.128069,16:49:47,58
17.117216,48.128071,16:49:48,59
17.117148,48.128071,16:49:49,60
17.117081,48.128071,16:49:50,61
17.117016,48.128073,16:49:51,62
17.116957,48.128088,16:49:52,63
17.116911,48.128129,16:49:53,64
17.11688,48.12816,16:49:54,65
17.116863,48.128186,16:49:55,66
17.116854,48.128226,16:49:56,67
17.116852,48.128239,16:49:57,68
17.116852,48.128266,16:49:58,69
17.116854,48.128294,16:49:59,70
17.116859,48.128324,16:50:00,71
17.116864,48.128357,16:50:01,72
17.11687,48.128392,16:50:02,73
17.116874,48.128429,16:50:03,74
17.116877,48.128467,16:50:04,75
17.116878,48.128507,16:50:05,76
17.116877,48.128548,16:50:06,77
17.116876,48.128589,16:50:07,78
17.116874,48.128631,16:50:08,79
17.116872,48.128673,16:50:09,80
17.116868,48.128716,16:50:10,81
17.116863,48.128761,16:50:11,82
17.116856,48.128805,16:50:12,83
17.116848,48.12885,16:50:13,84
17.11684,48.128894,16:50:14,85
17.116831,48.128938,16:50:15,86
17.116821,48.128981,16:50:16,87
17.11681,48.129024,16:50:17,88
17.116801,48.129065,16:50:18,89
17.116795,48.129106,16:50:19,90
17.116789,48.129145,16:50:20,91
17.116784,48.129184,16:50:21,92
17.116778,48.129221,16:50:22,93
17.116772,48.129258,16:50:23,94
17.116768,48.129294,16:50:24,95
17.116764,48.129329,16:50:25,96
17.116762,48.129363,16:50:26,97
17.116761,48.129396,16:50:27,98
17.116758,48.129429,16:50:28,99
17.116755,48.12946,16:50:29,100
17.116756,48.129492,16:50:30,101
17.116755,48.129522,16:50:31,102
17.116754,48.129552,16:50:32,103
17.116755,48.129581,16:50:33,104
17.116756,48.12961,16:50:34,105
17.116757,48.12964,16:50:35,106
17.116759,48.129671,16:50:36,107
17.116762,48.129702,16:50:37,108
17.116767,48.129734,16:50:38,109
17.116769,48.129766,16:50:39,110
17.116772,48.129798,16:50:40,111
17.116774,48.129831,16:50:41,112
17.116776,48.129864,16:50:42,113
17.116778,48.129896,16:50:43,114
17.116781,48.129927,16:50:44,115
17.116784,48.129958,16:50:45,116
17.116788,48.12999,16:50:46,117
17.116791,48.13002,16:50:47,118
17.116793,48.130051,16:50:48,119
17.116795,48.130083,16:50:49,120
